Year,Week_Number,mean_return,volatility,label
2019,0,0.85,2.970649592,+
2019,1,0.3512,0.663551957,+
2019,2,2.4224,2.682606811,+
2019,3,0.24275,1.137278147,+
2019,4,-0.822,0.844410149,-
2019,5,-0.0574,1.242972968,-
2019,6,0.5802,1.329260396,+
2019,7,-0.02375,0.731796591,-
2019,8,0.262,0.778892804,+
2019,9,-0.4528,0.657957217,-
2019,10,0.4516,0.724113458,+
2019,11,-1.5918,2.357199864,-
2019,12,0.4298,0.993527403,+
2019,13,1.066,1.477569457,+
2019,14,0.7512,1.795992678,+
2019,15,-0.1145,0.686623381,-
2019,16,0.2132,0.404866274,+
2019,17,0.2406,1.025230364,+
2019,18,-0.7456,0.619233639,-
2019,19,-0.7888,2.32993148,-
2019,20,-0.145,1.602820795,-
2019,21,-1.43,0.789430174,-
2019,22,0.818,2.24231075,+
2019,23,0.3724,1.08438199,+
2019,24,0.0644,1.382517739,+
2019,25,0.6262,1.431117815,+
2019,26,0.2275,1.060311432,+
2019,27,0.1328,0.858669145,+
2019,28,-0.0312,0.830670332,-
2019,29,0.9214,1.27194764,+
2019,30,-0.9064,1.848557086,-
2019,31,-0.6996,2.509790589,-
2019,32,-0.9018,2.880442275,-
2019,33,-0.4052,1.774600152,-
2019,34,0.7792,1.158637433,+
2019,35,0.3835,2.278548441,+
2019,36,1.7068,1.20251079,+
2019,37,-0.387,0.406646653,-
2019,38,-0.1572,1.19153271,-
2019,39,-0.664,1.79974012,-
2019,40,0.3906,1.773662679,+
2019,41,0.9792,0.759521362,+
2019,42,0.89,0.880706251,+
2019,43,0.057,1.295647136,+
2019,44,0.9048,0.8608738,+
2019,45,-0.198,0.576072044,-
2019,46,0.153,0.661993958,+
2019,47,0.1065,0.571806786,+
2019,48,0.3252,1.303072408,+
2019,49,0.4626,1.525298594,+
2019,50,0.3016,0.575410549,+
2019,51,0.279,0.584621245,+
2019,52,-0.1835,0.540936688,-
2020,0,-0.442,2.310824961,-
2020,1,-0.0896,0.73368883,-
2020,2,-0.0124,1.096039826,-
2020,3,-0.8505,0.86577191,-
2020,4,-0.4158,1.662068801,-
2020,5,1.0702,1.491089769,+
2020,6,0.1384,0.238293516,+
2020,7,-0.34575,1.429615887,-
2020,8,-3.6586,1.713645909,-
2020,9,-1.8444,4.174877878,-
2020,10,-0.5508,13.19707906,-
2020,11,-3.7044,8.810521227,-
2020,12,2.2628,9.865506814,+
2020,13,-1.4186,4.420260943,-
2020,14,5.5565,1.421785849,+
2020,15,-1.1704,5.865848302,-
2020,16,-0.9392,2.45374473,-
2020,17,0.8704,4.24445536,+
2020,18,0.4386,2.105747088,+
2020,19,-1.827,3.517329811,-
2020,20,1.174,3.946709516,+
2020,21,1.71575,6.213111479,+
2020,22,3.2642,1.728356213,+
2020,23,-2.3636,5.522720009,-
2020,24,0.395,2.148935899,+
2020,25,-1.6574,3.985453086,-
2020,26,0.1605,1.593053567,+
2020,27,0.6588,3.171587331,+
2020,28,-0.6568,2.135607806,-
2020,29,0.9668,1.740210102,+
2020,30,0.4488,2.088437143,+
2020,31,0.9738,1.022507555,+
2020,32,0.281,1.335804439,+
2020,33,-1.1494,0.833069205,-
2020,34,1.0468,1.696630101,+
2020,35,0.3384,2.101906468,+
2020,36,-0.9735,2.332971996,-
2020,37,-0.2216,1.314104372,-
2020,38,-1.3908,1.748681132,-
2020,39,0.614,1.451114744,+
2020,40,0.9388,1.244308724,+
2020,41,-0.859,3.145636422,-
2020,42,0.5568,2.119504942,+
2020,43,-0.9746,1.443769996,-
2020,44,0.5506,3.205989208,+
2020,45,2.2918,6.775275397,+
2020,46,-0.132,1.517920123,-
2020,47,2.00075,2.733347444,+
2020,48,0.3454,1.906810111,+
2020,49,-0.4922,1.043801562,-
2020,50,0.074,1.027125114,+
2020,51,1.1315,2.604070852,+
2020,52,0.2925,0.673267901,+
